地址,交租方式
CBD - 世界城,122
东城 - FREE自由季,25
东城 - solo一期绿景苑,6
东城 - 万国城,6
东城 - 万国城Moma,7
东城 - 三秀涵雅居,21
东城 - 上龙西里,56
东城 - 东中街小区,19
东城 - 东厂胡同,27
东城 - 东四十条甲34号院,12
东城 - 东四块玉北街小区,6
东城 - 东四块玉南街,17
东城 - 东土城路1号,8
东城 - 东土城路9号院,18
东城 - 东堂子胡同,10
东城 - 东外公馆,23
东城 - 东总布胡同,10
东城 - 东方豪庭,15
东城 - 东方豪庭公寓,14
东城 - 东方财富,35
东城 - 东方银座,52
东城 - 东湖别墅公寓,32
东城 - 东环居苑,19
东城 - 东直门内北小街,17
东城 - 东直门内大街,18
东城 - 东直门北大街,10
东城 - 东直门北小街小区,11
东城 - 东直门南大街,33
东城 - 东直门外大街,14
东城 - 东直门外大街32号,7
东城 - 东直门外大街40号楼,8
东城 - 东罗圈胡同,6
东城 - 东花市北里,8
东城 - 东花市北里东区,20
东城 - 东花市北里中区,90
东城 - 东花市北里西区,8
东城 - 东营房八条,9
东城 - 中剪子巷,6
东城 - 中海紫御公馆,321
东城 - 中绦胡同甲2号院,10
东城 - 丽水湾畔家园,7
东城 - 交道口北二条,6
东城 - 交道口北头条,9
东城 - 交道口南大街,6
东城 - 京城仁合,49
东城 - 京宝花园,6
东城 - 仓南胡同14号院,6
东城 - 体育馆路,23
东城 - 使馆新城,6
东城 - 俊景苑,6
东城 - 保利蔷薇,31
东城 - 光明楼小区,14
东城 - 光明西里,13
东城 - 兴化西里,34
东城 - 兴隆都市馨园,83
东城 - 兴隆都市馨园SOLO,11
东城 - 冠城名敦道,31
东城 - 分司厅胡同,8
东城 - 前永康小区,15
东城 - 前门东大街,41
东城 - 化工大院,14
东城 - 北京INN,25
东城 - 北京上舍,70
东城 - 北新仓社区,6
东城 - 北新胡同,10
东城 - 北河沿大街,10
东城 - 北锣鼓巷小区,17
东城 - 北门仓,12
东城 - 北门仓胡同,18
东城 - 十字坡东里,9
东城 - 华府景园,25
东城 - 华普花园,19
东城 - 华龙美晟,23
东城 - 南河沿,6
东城 - 南竹杆胡同,9
东城 - 同福夹道,13
东城 - 和平新城,68
东城 - 和平街十一区,57
东城 - 和平街十三区,25
东城 - 和平街十二区,28
东城 - 和平街十五区,71
东城 - 和平西苑,6
东城 - 和平里一区,10
东城 - 和平里七区,27
东城 - 和平里三区,61
东城 - 和平里东街9号院,22
东城 - 和平里中街3号院,9
东城 - 和平里二区,6
东城 - 和平里五区,82
东城 - 和平里六区,30
东城 - 和平里砖角楼,11
东城 - 国子监,6
东城 - 国瑞城,548
东城 - 国瑞紫金台,12
东城 - 培新街乙5号院,26
东城 - 外交部街33号院,8
东城 - 外交部街小区,13
东城 - 大方家胡同,13
东城 - 大羊宜宾胡同,6
东城 - 天利园,29
东城 - 天坛东里,12
东城 - 天坛东里中区,7
东城 - 天娇园,23
东城 - 安外东河沿,10
东城 - 安外东河沿小区,17
东城 - 安外大街3号院,6
东城 - 安外花园,20
东城 - 安外西河沿小区,19
东城 - 安定门东大街甲2号,8
东城 - 安德路47号院,53
东城 - 安德路乙61号院,9
东城 - 安德里北街小区,7
东城 - 安贞苑50号院,7
东城 - 宝华里,14
东城 - 宝珠子胡同,17
东城 - 宝钞胡同,15
东城 - 富贵园,49
东城 - 富贵园一区,23
东城 - 富贵园三区,54
东城 - 富贵园二区,46
东城 - 富贵园四区,45
东城 - 察慈小区,9
东城 - 小经厂胡同,9
东城 - 小羊宜宾胡同,23
东城 - 小菊胡同,7
东城 - 小黄庄一区,29
东城 - 小黄庄前街,8
东城 - 小黄庄前街3号内,7
东城 - 小黄庄前街3号院,15
东城 - 小黄庄小区,17
东城 - 崇文门东大街,63
东城 - 崇文门西大街,9
东城 - 工体北里,18
